"","37","31","5","10","11","3","6","12","17","30","34","33","36","29","18","8","2","7","28","20","15","23","27","25","14","9","13","39","4","1","21","26","24","38","32","16","19","22","35","上车总人数"
"37",0,0,0,0,0,0,0,0,0,3,1,2,2,1,0,0,8,4,8,3,18,1,1,3,10,1,0,1,2,0,0,0,0,0,0,0,0,0,0,69
"31",0,0,0,0,0,0,0,0,1,4,1,3,5,1,1,1,23,13,26,11,70,3,3,15,44,7,2,7,10,1,2,1,0,0,0,0,0,0,0,255
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,0,0,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,15
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,11,0,0,3,10,2,0,2,3,0,1,0,0,0,0,0,0,0,0,40
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,2,17,1,1,6,19,4,1,5,8,1,1,1,0,0,0,0,0,0,0,76
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,3,20,1,1,8,29,6,2,8,14,1,3,2,1,0,0,0,0,0,0,108
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,16,1,1,9,36,8,3,14,25,2,6,4,3,1,1,0,0,0,0,137
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,4,18,4,1,8,15,1,4,3,2,1,1,0,0,0,0,70
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,14,1,1,13,57,14,5,31,61,6,18,14,9,3,4,1,1,2,1,259
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,1,1,3,7,1,2,2,1,0,1,0,0,0,0,26
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,2,1,5,12,1,4,4,3,1,1,0,1,1,0,45
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,5,11,1,4,4,3,1,2,1,1,1,1,43
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,5
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,1,4,5,5,2,4,2,2,4,3,41
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,1,2,1,1,3,2,19
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,3,3,2,4,2,3,6,4,33
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,1,3,2,14
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,6,4,9,5,9,21,15,79
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,7,6,21
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,4,9,27,25,75
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,6,16
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,10,12,27
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,19,25,50
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,10,17
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,15
