area,PV,UV
1,106,85
2,186,154
3,128,64
4,89,24
5,23,18
6,63,27
7,62,30
8,62,36
9,120,38
10,110,47
11,94,45
12,100,37
13,67,27
14,120,31
15,82,28
16,102,34
17,58,29
18,56,28
19,86,43
20,109,89
21,232,58
22,106,37
23,145,51
24,176,48
25,72,29
26,91,36
27,65,30
28,79,26
29,61,32
30,51,25
31,50,23
32,91,28
33,65,43
34,79,34
35,100,44
36,67,62
37,120,62
38,82,20
39,102,90
40,99,79
41,102,61
42,69,51
43,110,50
44,78,45
45,86,37
46,79,23
47,68,28
48,62,43
49,48,34
50,57,28
