"经度","纬度","业务时间","卡片记录编码","线路名称","经纬度","上车站点","实际站点"
114.066413,22.659549,2014-06-09 06:02:00,360972027,"68路","114.066413,22.659549",1,37
114.034553,22.624416,2014-06-09 06:22:00,323654111,"68路","114.034553,22.624416",10,30
114.061882,22.638866,2014-06-09 06:37:00,293966254,"68路","114.061882,22.638866",11,34
114.047119,22.518867,2014-06-09 06:54:00,322931121,"68路","114.047119,22.518867",8,12
114.047119,22.518867,2014-06-09 06:54:00,326548574,"68路","114.047119,22.518867",8,12
114.047119,22.518867,2014-06-09 06:54:00,327235486,"68路","114.047119,22.518867",8,12
114.047119,22.518867,2014-06-09 06:54:00,330038615,"68路","114.047119,22.518867",8,12
114.039581,22.612716,2014-06-09 06:57:00,251037944,"68路","114.039581,22.612716",14,29
114.039581,22.612716,2014-06-09 06:57:00,251298990,"68路","114.039581,22.612716",14,29
114.039581,22.612716,2014-06-09 06:57:00,292478388,"68路","114.039581,22.612716",14,29
114.071662,22.550975,2014-06-09 07:10:00,150061723,"68路","114.071662,22.550975",15,18
113.999649,22.53005,2014-06-09 07:11:00,298846312,"68路","113.999649,22.53005",0,37
113.999649,22.53005,2014-06-09 07:11:00,322508195,"68路","113.999649,22.53005",0,37
114.043548,22.520271,2014-06-09 07:27:00,20943021,"68路","114.043548,22.520271",8,12
114.043548,22.520271,2014-06-09 07:27:00,80146492,"68路","114.043548,22.520271",8,12
114.043548,22.520271,2014-06-09 07:27:00,293499521,"68路","114.043548,22.520271",8,12
114.061668,22.652555,2014-06-09 07:29:00,180026538,"68路","114.061668,22.652555",13,36
113.940399,22.54915,2014-06-09 07:29:00,285082248,"68路","113.940399,22.54915",6,3
113.940399,22.54915,2014-06-09 07:29:00,296173669,"68路","113.940399,22.54915",6,3
114.021003,22.531967,2014-06-09 07:34:00,297671449,"68路","114.021003,22.531967",16,8
114.021003,22.531967,2014-06-09 07:34:00,320830455,"68路","114.021003,22.531967",16,8
114.021003,22.531967,2014-06-09 07:34:00,329849352,"68路","114.021003,22.531967",16,8
114.041473,22.640039,2014-06-09 07:46:00,290632122,"68路","114.041473,22.640039",2,31
114.041473,22.640039,2014-06-09 07:46:00,292887064,"68路","114.041473,22.640039",2,31
114.041473,22.640039,2014-06-09 07:46:00,293038807,"68路","114.041473,22.640039",2,31
114.041473,22.640039,2014-06-09 07:46:00,294138687,"68路","114.041473,22.640039",2,31
114.039108,22.641319,2014-06-09 07:47:00,291394401,"68路","114.039108,22.641319",2,31
114.039108,22.641319,2014-06-09 07:47:00,291685116,"68路","114.039108,22.641319",2,31
114.039108,22.641319,2014-06-09 07:47:00,292894768,"68路","114.039108,22.641319",2,31
114.039108,22.641319,2014-06-09 07:47:00,294527275,"68路","114.039108,22.641319",2,31
114.039108,22.641319,2014-06-09 07:47:00,321154064,"68路","114.039108,22.641319",2,31
114.039108,22.641319,2014-06-09 07:47:00,324723295,"68路","114.039108,22.641319",2,31
114.039108,22.641319,2014-06-09 07:47:00,325691138,"68路","114.039108,22.641319",2,31
114.039108,22.641319,2014-06-09 07:47:00,325878773,"68路","114.039108,22.641319",2,31
114.039108,22.641319,2014-06-09 07:47:00,326392621,"68路","114.039108,22.641319",2,31
114.039108,22.641319,2014-06-09 07:47:00,329658150,"68路","114.039108,22.641319",2,31
114.034912,22.642595,2014-06-09 07:49:00,23151422,"68路","114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49:00,293914607,"68路","114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49:00,321959183,"68路","114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49:00,323248397,"68路","114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49:00,324351254,"68路","114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49:00,325745030,"68路","114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49:00,327536226,"68路","114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49:00,328779232,"68路","114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49:00,364056969,"68路","114.034912,22.642595",2,31
114.031684,22.637451,2014-06-09 07:51:00,20592495,"68路","114.031684,22.637451",2,31
114.031684,22.637451,2014-06-09 07:51:00,21025506,"68路","114.031684,22.637451",2,31
114.031684,22.637451,2014-06-09 07:51:00,23581251,"68路","114.031684,22.637451",2,31
114.031684,22.637451,2014-06-09 07:51:00,280372336,"68路","114.031684,22.637451",2,31
114.031684,22.637451,2014-06-09 07:51:00,292543135,"68路","114.031684,22.637451",2,31
114.031684,22.637451,2014-06-09 07:51:00,325768598,"68路","114.031684,22.637451",2,31
114.031684,22.637451,2014-06-09 07:51:00,326959928,"68路","114.031684,22.637451",2,31
114.031684,22.637451,2014-06-09 07:51:00,328164759,"68路","114.031684,22.637451",2,31
113.99533,22.527633,2014-06-09 07:17:00,327444653,"68路","113.99533,22.527633",18,7
113.940551,22.542432,2014-06-09 07:32:00,251390691,"68路","113.940551,22.542432",6,3
114.034248,22.525249,2014-06-09 07:54:00,294409744,"68路","114.034248,22.525249",5,11
114.055786,22.518682,2014-06-09 07:47:00,285050091,"68路","114.055786,22.518682",27,13
113.94065,22.56015,2014-06-09 07:51:00,328133022,"68路","113.94065,22.56015",17,2
113.940528,22.544399,2014-06-09 06:41:00,50052663,"68路","113.940528,22.544399",6,3
114.036178,22.524351,2014-06-09 06:59:00,251161278,"68路","114.036178,22.524351",5,11
114.061248,22.5212,2014-06-09 07:08:00,327563124,"68路","114.061248,22.5212",25,14
114.037216,22.617099,2014-06-09 07:49:00,325658119,"68路","114.037216,22.617099",10,30
114.035285,22.622049,2014-06-09 07:52:00,294452161,"68路","114.035285,22.622049",10,30
113.940704,22.559835,2014-06-09 06:00:00,293902375,"68路","113.940704,22.559835",17,2
113.938003,22.56245,2014-06-09 06:00:00,293902371,"68路","113.938003,22.56245",30,1
114.047058,22.518648,2014-06-09 06:27:00,321320619,"68路","114.047058,22.518648",8,12
114.032066,22.631134,2014-06-09 07:04:00,151092793,"68路","114.032066,22.631134",10,30
113.940505,22.560371,2014-06-09 06:48:00,23467314,"68路","113.940505,22.560371",17,2
113.940368,22.549266,2014-06-09 06:51:00,20649526,"68路","113.940368,22.549266",6,3
114.030731,22.527011,2014-06-09 07:08:00,324905749,"68路","114.030731,22.527011",4,10
114.038764,22.522916,2014-06-09 07:12:00,290661144,"68路","114.038764,22.522916",5,11
114.037918,22.615726,2014-06-09 07:51:00,23228722,"68路","114.037918,22.615726",10,30
113.940605,22.559724,2014-06-09 07:37:00,293513210,"68路","113.940605,22.559724",17,2
114.033615,22.6275,2014-06-09 07:30:00,327491282,"68路","114.033615,22.6275",10,30
114.036346,22.618816,2014-06-09 07:36:00,323225469,"68路","114.036346,22.618816",10,30
114.038345,22.523176,2014-06-09 06:45:00,23002590,"68路","114.038345,22.523176",5,11
114.033348,22.628116,2014-06-09 07:31:00,281022069,"68路","114.033348,22.628116",10,30
114.040367,22.64055,2014-06-09 07:41:00,324784856,"68路","114.040367,22.64055",2,31
114.051681,22.637184,2014-06-09 07:46:00,323699607,"68路","114.051681,22.637184",12,33
114.034103,22.625366,2014-06-09 07:54:00,291686993,"68路","114.034103,22.625366",10,30
114.034584,22.62405,2014-06-09 07:54:00,281025716,"68路","114.034584,22.62405",10,30
114.035507,22.621576,2014-06-09 07:55:00,326934291,"68路","114.035507,22.621576",10,30
114.062614,22.654684,2014-06-09 07:08:00,324129236,"68路","114.062614,22.654684",1,37
114.0512,22.637416,2014-06-09 07:18:00,323285013,"68路","114.0512,22.637416",12,33
114.035415,22.621639,2014-06-09 07:39:00,23051402,"68路","114.035415,22.621639",10,30
114.03543,22.621749,2014-06-09 07:39:00,294331971,"68路","114.03543,22.621749",10,30
114.035728,22.620279,2014-06-09 07:39:00,360871829,"68路","114.035728,22.620279",10,30
114.036918,22.617549,2014-06-09 07:41:00,327288729,"68路","114.036918,22.617549",10,30
114.06443,22.657234,2014-06-09 07:41:00,290772406,"68路","114.06443,22.657234",1,37
114.061523,22.652261,2014-06-09 07:42:00,323346219,"68路","114.061523,22.652261",13,36
114.061576,22.652379,2014-06-09 07:54:00,328089805,"68路","114.061576,22.652379",13,36
114.038261,22.614952,2014-06-09 07:33:00,291005393,"68路","114.038261,22.614952",10,30
114.072166,22.654649,2014-06-09 06:01:00,293943087,"68路","114.072166,22.654649",28,39
114.051246,22.518283,2014-06-09 06:57:00,291525310,"68路","114.051246,22.518283",8,12
114.060821,22.521131,2014-06-09 07:24:00,330603731,"68路","114.060821,22.521131",25,14
114.036651,22.5242,2014-06-09 07:33:00,280423699,"68路","114.036651,22.5242",5,11
114.034103,22.625383,2014-06-09 07:04:00,680828891,"68路","114.034103,22.625383",10,30
114.063011,22.524721,2014-06-09 07:44:00,80316592,"68路","114.063011,22.524721",25,14
114.039505,22.522647,2014-06-09 07:53:00,294186365,"68路","114.039505,22.522647",5,11
114.036384,22.5244,2014-06-09 07:54:00,330273016,"68路","114.036384,22.5244",5,11
114.034713,22.6252,2014-06-09 06:43:00,321525766,"68路","114.034713,22.6252",10,30
114.035903,22.619745,2014-06-09 06:44:00,151098929,"68路","114.035903,22.619745",10,30
114.062629,22.522991,2014-06-09 07:14:00,294106898,"68路","114.062629,22.522991",25,14
114.063049,22.523916,2014-06-09 07:14:00,251306975,"68路","114.063049,22.523916",25,14
114.044563,22.519634,2014-06-09 07:20:00,325773957,"68路","114.044563,22.519634",8,12
114.043357,22.520406,2014-06-09 07:21:00,321828661,"68路","114.043357,22.520406",8,12
114.042686,22.520549,2014-06-09 07:22:00,292334332,"68路","114.042686,22.520549",8,12
114.038246,22.523399,2014-06-09 07:23:00,280607539,"68路","114.038246,22.523399",5,11
114.067947,22.659782,2014-06-09 07:15:00,280654924,"68路","114.067947,22.659782",34,38
114.038398,22.641599,2014-06-09 07:37:00,293826304,"68路","114.038398,22.641599",2,31
114.033363,22.628,2014-06-09 07:46:00,320339494,"68路","114.033363,22.628",10,30
114.036529,22.642156,2014-06-09 07:03:00,329865100,"68路","114.036529,22.642156",2,31
114.035614,22.642416,2014-06-09 07:03:00,293939429,"68路","114.035614,22.642416",2,31
114.034095,22.626115,2014-06-09 06:37:00,293776575,"68路","114.034095,22.626115",10,30
114.034454,22.625082,2014-06-09 06:38:00,296171687,"68路","114.034454,22.625082",10,30
114.034446,22.624799,2014-06-09 06:38:00,30051704,"68路","114.034446,22.624799",10,30
114.035697,22.6207,2014-06-09 06:39:00,251277264,"68路","114.035697,22.6207",10,30
114.037788,22.615999,2014-06-09 06:41:00,322312846,"68路","114.037788,22.615999",10,30
114.063468,22.537649,2014-06-09 07:10:00,293347260,"68路","114.063468,22.537649",21,15
114.045951,22.519266,2014-06-09 07:20:00,293930325,"68路","114.045951,22.519266",8,12
114.033599,22.627132,2014-06-09 06:25:00,328698535,"68路","114.033599,22.627132",10,30
114.061943,22.522121,2014-06-09 06:51:00,251000065,"68路","114.061943,22.522121",25,14
114.045349,22.519399,2014-06-09 06:57:00,23528398,"68路","114.045349,22.519399",8,12
114.034751,22.624134,2014-06-09 07:57:00,293878009,"68路","114.034751,22.624134",10,30
114.037834,22.641649,2014-06-09 06:41:00,328698530,"68路","114.037834,22.641649",2,31
114.034988,22.642568,2014-06-09 06:41:00,293938898,"68路","114.034988,22.642568",2,31
114.034881,22.6245,2014-06-09 06:51:00,293228099,"68路","114.034881,22.6245",10,30
114.034965,22.623649,2014-06-09 06:51:00,296297482,"68路","114.034965,22.623649",10,30
114.035774,22.524744,2014-06-09 07:39:00,330144439,"68路","114.035774,22.524744",5,11
114.029113,22.528266,2014-06-09 07:45:00,325306939,"68路","114.029113,22.528266",4,10
114.039291,22.641231,2014-06-09 07:54:00,360682730,"68路","114.039291,22.641231",2,31
114.036155,22.64228,2014-06-09 07:55:00,361365001,"68路","114.036155,22.64228",2,31
114.035339,22.642431,2014-06-09 07:06:00,361291882,"68路","114.035339,22.642431",2,31
114.032539,22.629646,2014-06-09 07:15:00,660444155,"68路","114.032539,22.629646",10,30
114.035133,22.622396,2014-06-09 07:19:00,323264556,"68路","114.035133,22.622396",10,30
114.035385,22.621772,2014-06-09 07:19:00,30093015,"68路","114.035385,22.621772",10,30
114.038558,22.614561,2014-06-09 07:24:00,296032456,"68路","114.038558,22.614561",10,30
114.062934,22.523933,2014-06-09 07:56:00,323812840,"68路","114.062934,22.523933",25,14
114.0624,22.561355,2014-06-09 07:15:00,324652969,"68路","114.0624,22.561355",31,21
114.029502,22.528232,2014-06-09 07:37:00,323922720,"68路","114.029502,22.528232",4,10
114.040672,22.64052,2014-06-09 06:53:00,326125776,"68路","114.040672,22.64052",2,31
114.039985,22.640899,2014-06-09 06:53:00,320058404,"68路","114.039985,22.640899",2,31
114.035507,22.642475,2014-06-09 06:55:00,320024892,"68路","114.035507,22.642475",2,31
114.031707,22.637252,2014-06-09 06:58:00,293194909,"68路","114.031707,22.637252",2,31
114.033966,22.626455,2014-06-09 07:02:00,328218507,"68路","114.033966,22.626455",10,30
114.059631,22.520568,2014-06-09 07:36:00,294213689,"68路","114.059631,22.520568",25,14
114.042968,22.520366,2014-06-09 07:31:00,326600411,"68路","114.042968,22.520366",8,12
114.065048,22.537866,2014-06-09 07:44:00,296162369,"68路","114.065048,22.537866",21,15
113.940467,22.54515,2014-06-09 07:21:00,327335947,"68路","113.940467,22.54515",6,3
113.948333,22.529983,2014-06-09 07:50:00,328069865,"68路","113.948333,22.529983",3,5
114.061363,22.643182,2014-06-09 07:47:00,293111430,"68路","114.061363,22.643182",39,35
113.948097,22.530099,2014-06-09 07:37:00,323711419,"68路","113.948097,22.530099",3,5
114.023521,22.531505,2014-06-09 07:48:00,293669141,"68路","114.023521,22.531505",26,9
114.038887,22.522783,2014-06-09 07:55:00,291365334,"68路","114.038887,22.522783",5,11
114.045463,22.598749,2014-06-09 07:05:00,320224882,"68路","114.045463,22.598749",24,25
114.048233,22.638,2014-06-09 07:27:00,291091588,"68路","114.048233,22.638",35,32
114.04277,22.639316,2014-06-09 07:06:00,23591183,"68路","114.04277,22.639316",2,31
114.038215,22.6417,2014-06-09 07:08:00,326735623,"68路","114.038215,22.6417",2,31
114.032798,22.629383,2014-06-09 07:15:00,291018365,"68路","114.032798,22.629383",10,30
114.035369,22.6224,2014-06-09 07:18:00,296120330,"68路","114.035369,22.6224",10,30
114.036331,22.618766,2014-06-09 07:19:00,20683434,"68路","114.036331,22.618766",10,30
114.04,22.605316,2014-06-09 07:27:00,292832414,"68路","114.04,22.605316",32,26
114.031715,22.637367,2014-06-09 07:45:00,324236603,"68路","114.031715,22.637367",2,31
114.037986,22.641716,2014-06-09 06:55:00,361223349,"68路","114.037986,22.641716",2,31
114.035736,22.642383,2014-06-09 06:55:00,326944448,"68路","114.035736,22.642383",2,31
114.03305,22.62885,2014-06-09 07:02:00,327176062,"68路","114.03305,22.62885",10,30
114.051734,22.518266,2014-06-09 07:39:00,295246905,"68路","114.051734,22.518266",8,12
114.036598,22.52425,2014-06-09 07:46:00,364026743,"68路","114.036598,22.52425",5,11
114.03543,22.52485,2014-06-09 07:47:00,329632487,"68路","114.03543,22.52485",5,11
114.034599,22.625017,2014-06-09 07:08:00,329853343,"68路","114.034599,22.625017",10,30
114.040565,22.609966,2014-06-09 07:13:00,329823943,"68路","114.040565,22.609966",19,28
114.037818,22.64175,2014-06-09 07:35:00,322292624,"68路","114.037818,22.64175",2,31
114.035568,22.6424,2014-06-09 07:35:00,323794852,"68路","114.035568,22.6424",2,31
114.032569,22.629949,2014-06-09 07:44:00,360196514,"68路","114.032569,22.629949",10,30
114.034896,22.623449,2014-06-09 07:50:00,290735545,"68路","114.034896,22.623449",10,30
114.062034,22.653667,2014-06-09 06:38:00,320955783,"68路","114.062034,22.653667",1,37
114.042549,22.639467,2014-06-09 06:48:00,293212625,"68路","114.042549,22.639467",2,31
114.032165,22.639783,2014-06-09 06:52:00,321843572,"68路","114.032165,22.639783",2,31
114.040412,22.610366,2014-06-09 07:04:00,291396158,"68路","114.040412,22.610366",19,28
114.065864,22.658866,2014-06-09 07:30:00,321512864,"68路","114.065864,22.658866",1,37
114.062805,22.655122,2014-06-09 07:31:00,23182796,"68路","114.062805,22.655122",1,37
114.031814,22.637283,2014-06-09 07:54:00,325893833,"68路","114.031814,22.637283",2,31
114.061546,22.652017,2014-06-09 07:29:00,321140984,"68路","114.061546,22.652017",13,36
114.034469,22.625341,2014-06-09 06:53:00,700160307,"68路","114.034469,22.625341",10,30
114.032569,22.629449,2014-06-09 07:48:00,292183173,"68路","114.032569,22.629449",10,30
114.035919,22.619733,2014-06-09 07:55:00,327457871,"68路","114.035919,22.619733",10,30
114.035484,22.642503,2014-06-09 06:26:00,50470515,"68路","114.035484,22.642503",2,31
114.052345,22.636827,2014-06-09 06:34:00,296297557,"68路","114.052345,22.636827",12,33
114.039062,22.641382,2014-06-09 06:38:00,292745906,"68路","114.039062,22.641382",2,31
114.034835,22.623249,2014-06-09 06:47:00,291991223,"68路","114.034835,22.623249",10,30
114.040985,22.521717,2014-06-09 07:28:00,290999151,"68路","114.040985,22.521717",8,12
114.029533,22.528182,2014-06-09 07:36:00,328384662,"68路","114.029533,22.528182",4,10
113.944984,22.53885,2014-06-09 07:53:00,325626764,"68路","113.944984,22.53885",29,4
114.071533,22.655033,2014-06-09 07:39:00,360911099,"68路","114.071533,22.655033",28,39
114.066383,22.659616,2014-06-09 07:41:00,322937193,"68路","114.066383,22.659616",1,37
114.035331,22.524833,2014-06-09 07:50:00,20632082,"68路","114.035331,22.524833",5,11
114.038368,22.641433,2014-06-09 07:13:00,360765973,"68路","114.038368,22.641433",2,31
114.031654,22.636791,2014-06-09 07:18:00,320120934,"68路","114.031654,22.636791",2,31
114.034835,22.623699,2014-06-09 07:26:00,323052112,"68路","114.034835,22.623699",10,30
114.057868,22.637266,2014-06-09 06:10:00,322810831,"68路","114.057868,22.637266",12,33
114.042335,22.639415,2014-06-09 06:13:00,293061195,"68路","114.042335,22.639415",2,31
114.040573,22.609582,2014-06-09 06:26:00,322474432,"68路","114.040573,22.609582",19,28
114.037384,22.523767,2014-06-09 07:37:00,322483440,"68路","114.037384,22.523767",5,11
114.04235,22.639482,2014-06-09 07:20:00,361071276,"68路","114.04235,22.639482",2,31
114.039268,22.641134,2014-06-09 07:21:00,322366932,"68路","114.039268,22.641134",2,31
114.032333,22.631683,2014-06-09 07:29:00,320657846,"68路","114.032333,22.631683",10,30
114.049598,22.637783,2014-06-09 07:22:00,322919998,"68路","114.049598,22.637783",35,32
114.034934,22.642566,2014-06-09 07:27:00,323553076,"68路","114.034934,22.642566",2,31
114.032249,22.639949,2014-06-09 07:29:00,294620532,"68路","114.032249,22.639949",2,31
114.063026,22.655424,2014-06-09 06:30:00,295043269,"68路","114.063026,22.655424",1,37
114.042579,22.639415,2014-06-09 06:40:00,23147237,"68路","114.042579,22.639415",2,31
114.034065,22.62565,2014-06-09 06:47:00,151042468,"68路","114.034065,22.62565",10,30
114.046249,22.519117,2014-06-09 07:34:00,325773957,"68路","114.046249,22.519117",8,12
114.038497,22.523199,2014-06-09 07:37:00,323783314,"68路","114.038497,22.523199",5,11
114.034812,22.5251,2014-06-09 07:38:00,80291952,"68路","114.034812,22.5251",5,11
114.068351,22.659532,2014-06-09 06:06:00,151087036,"68路","114.068351,22.659532",34,38
114.063201,22.65575,2014-06-09 06:08:00,360909758,"68路","114.063201,22.65575",1,37
114.032234,22.639734,2014-06-09 06:49:00,327117884,"68路","114.032234,22.639734",2,31
114.031753,22.6373,2014-06-09 06:49:00,681078053,"68路","114.031753,22.6373",2,31
114.03218,22.631834,2014-06-09 06:51:00,328177021,"68路","114.03218,22.631834",10,30
114.062751,22.536867,2014-06-09 07:22:00,326380049,"68路","114.062751,22.536867",21,15
114.037048,22.523965,2014-06-09 07:36:00,293143858,"68路","114.037048,22.523965",5,11
114.06282,22.536666,2014-06-09 06:48:00,330818286,"68路","114.06282,22.536666",21,15
114.046318,22.519117,2014-06-09 06:57:00,291081016,"68路","114.046318,22.519117",8,12
114.041397,22.64005,2014-06-09 06:48:00,361410328,"68路","114.041397,22.64005",2,31
114.036003,22.642259,2014-06-09 06:49:00,660048745,"68路","114.036003,22.642259",2,31
114.032363,22.639932,2014-06-09 06:51:00,321060328,"68路","114.032363,22.639932",2,31
114.060081,22.520566,2014-06-09 07:44:00,326986662,"68路","114.060081,22.520566",25,14
114.035469,22.524766,2014-06-09 07:56:00,322989995,"68路","114.035469,22.524766",5,11
114.035697,22.642383,2014-06-09 07:44:00,325745030,"68路","114.035697,22.642383",2,31
114.031684,22.636075,2014-06-09 07:48:00,324477743,"68路","114.031684,22.636075",2,31
114.033264,22.628416,2014-06-09 07:53:00,294812990,"68路","114.033264,22.628416",10,30
114.035018,22.62305,2014-06-09 07:56:00,324185740,"68路","114.035018,22.62305",10,30
114.039855,22.522167,2014-06-09 06:21:00,294361059,"68路","114.039855,22.522167",5,11
114.043632,22.520103,2014-06-09 06:22:00,323145006,"68路","114.043632,22.520103",8,12
114.062217,22.522132,2014-06-09 06:26:00,330325886,"68路","114.062217,22.522132",25,14
114.039848,22.612316,2014-06-09 06:53:00,322308553,"68路","114.039848,22.612316",14,29
114.036094,22.619615,2014-06-09 06:55:00,361334629,"68路","114.036094,22.619615",10,30
114.035499,22.621749,2014-06-09 06:55:00,321711124,"68路","114.035499,22.621749",10,30
113.995201,22.527599,2014-06-09 06:28:00,322931657,"68路","113.995201,22.527599",18,7
114.029983,22.52745,2014-06-09 06:33:00,329898256,"68路","114.029983,22.52745",4,10
114.065299,22.5513,2014-06-09 06:58:00,50617073,"68路","114.065299,22.5513",20,20
114.038215,22.61535,2014-06-09 07:12:00,290658470,"68路","114.038215,22.61535",10,30
114.03392,22.626499,2014-06-09 07:15:00,23306454,"68路","114.03392,22.626499",10,30
114.040603,22.61045,2014-06-09 07:23:00,290395313,"68路","114.040603,22.61045",19,28
114.037048,22.617416,2014-06-09 07:26:00,294800200,"68路","114.037048,22.617416",10,30
114.03643,22.618917,2014-06-09 07:26:00,23631121,"68路","114.03643,22.618917",10,30
114.03643,22.618917,2014-06-09 07:26:00,321034151,"68路","114.03643,22.618917",10,30
114.033882,22.626832,2014-06-09 07:30:00,360581647,"68路","114.033882,22.626832",10,30
114.032707,22.629615,2014-06-09 07:31:00,325323450,"68路","114.032707,22.629615",10,30
114.032897,22.629365,2014-06-09 07:31:00,322629338,"68路","114.032897,22.629365",10,30
114.031768,22.636365,2014-06-09 07:34:00,251330300,"68路","114.031768,22.636365",2,31
114.038932,22.522867,2014-06-09 07:00:00,251145246,"68路","114.038932,22.522867",5,11
114.04187,22.521499,2014-06-09 07:02:00,251382317,"68路","114.04187,22.521499",8,12
