经度,纬度,业务时间,卡片记录编码,线路名称,经纬度,上车站点,实际站点
114.06641299999998,22.659549,2014-06-09 06:02,360972027,68路,"114.066413,22.659549",1,37
114.034553,22.624416,2014-06-09 06:22,323654111,68路,"114.034553,22.624416",10,30
114.06188200000001,22.638866,2014-06-09 06:37,293966254,68路,"114.061882,22.638866",11,34
114.047119,22.518867,2014-06-09 06:54,322931121,68路,"114.047119,22.518867",8,12
114.047119,22.518867,2014-06-09 06:54,326548574,68路,"114.047119,22.518867",8,12
114.047119,22.518867,2014-06-09 06:54,327235486,68路,"114.047119,22.518867",8,12
114.047119,22.518867,2014-06-09 06:54,330038615,68路,"114.047119,22.518867",8,12
114.03958100000001,22.612716,2014-06-09 06:57,251037944,68路,"114.039581,22.612716",14,29
114.03958100000001,22.612716,2014-06-09 06:57,251298990,68路,"114.039581,22.612716",14,29
114.03958100000001,22.612716,2014-06-09 06:57,292478388,68路,"114.039581,22.612716",14,29
114.07166200000002,22.550975,2014-06-09 07:10,150061723,68路,"114.071662,22.550975",15,18
113.999649,22.53005,2014-06-09 07:11,298846312,68路,"113.999649,22.53005",0,37
113.999649,22.53005,2014-06-09 07:11,322508195,68路,"113.999649,22.53005",0,37
114.043548,22.520270999999997,2014-06-09 07:27,20943021,68路,"114.043548,22.520271",8,12
114.043548,22.520270999999997,2014-06-09 07:27,80146492,68路,"114.043548,22.520271",8,12
114.043548,22.520270999999997,2014-06-09 07:27,293499521,68路,"114.043548,22.520271",8,12
114.061668,22.652555,2014-06-09 07:29,180026538,68路,"114.061668,22.652555",13,36
113.940399,22.54915,2014-06-09 07:29,285082248,68路,"113.940399,22.54915",6,3
113.940399,22.54915,2014-06-09 07:29,296173669,68路,"113.940399,22.54915",6,3
114.02100300000001,22.531967,2014-06-09 07:34,297671449,68路,"114.021003,22.531967",16,8
114.02100300000001,22.531967,2014-06-09 07:34,320830455,68路,"114.021003,22.531967",16,8
114.02100300000001,22.531967,2014-06-09 07:34,329849352,68路,"114.021003,22.531967",16,8
114.041473,22.640039,2014-06-09 07:46,290632122,68路,"114.041473,22.640039",2,31
114.041473,22.640039,2014-06-09 07:46,292887064,68路,"114.041473,22.640039",2,31
114.041473,22.640039,2014-06-09 07:46,293038807,68路,"114.041473,22.640039",2,31
114.041473,22.640039,2014-06-09 07:46,294138687,68路,"114.041473,22.640039",2,31
114.03910800000001,22.641319,2014-06-09 07:47,291394401,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,291685116,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,292894768,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,294527275,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,321154064,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,324723295,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,325691138,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,325878773,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,326392621,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,329658150,68路,"114.039108,22.641319",2,31
114.034912,22.642595,2014-06-09 07:49,23151422,68路,"114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49,293914607,68路,"114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49,321959183,68路,"114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49,323248397,68路,"114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49,324351254,68路,"114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49,325745030,68路,"114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49,327536226,68路,"114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49,328779232,68路,"114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49,364056969,68路,"114.034912,22.642595",2,31
114.03168400000001,22.637451000000002,2014-06-09 07:51,20592495,68路,"114.031684,22.637451",2,31
114.03168400000001,22.637451000000002,2014-06-09 07:51,21025506,68路,"114.031684,22.637451",2,31
114.03168400000001,22.637451000000002,2014-06-09 07:51,23581251,68路,"114.031684,22.637451",2,31
114.03168400000001,22.637451000000002,2014-06-09 07:51,280372336,68路,"114.031684,22.637451",2,31
114.03168400000001,22.637451000000002,2014-06-09 07:51,292543135,68路,"114.031684,22.637451",2,31
114.03168400000001,22.637451000000002,2014-06-09 07:51,325768598,68路,"114.031684,22.637451",2,31
114.03168400000001,22.637451000000002,2014-06-09 07:51,326959928,68路,"114.031684,22.637451",2,31
114.03168400000001,22.637451000000002,2014-06-09 07:51,328164759,68路,"114.031684,22.637451",2,31
113.99533000000001,22.527632999999998,2014-06-09 07:17,327444653,68路,"113.99533,22.527633",18,7
113.940551,22.542432,2014-06-09 07:32,251390691,68路,"113.940551,22.542432",6,3
114.034248,22.525249,2014-06-09 07:54,294409744,68路,"114.034248,22.525249",5,11
114.05578600000001,22.518682000000002,2014-06-09 07:47,285050091,68路,"114.055786,22.518682",27,13
113.94065,22.56015,2014-06-09 07:51,328133022,68路,"113.94065,22.56015",17,2
113.940528,22.544399,2014-06-09 06:41,50052663,68路,"113.940528,22.544399",6,3
114.036178,22.524351,2014-06-09 06:59,251161278,68路,"114.036178,22.524351",5,11
114.06124799999999,22.5212,2014-06-09 07:08,327563124,68路,"114.061248,22.5212",25,14
114.03721599999999,22.617099,2014-06-09 07:49,325658119,68路,"114.037216,22.617099",10,30
114.03528500000002,22.622049,2014-06-09 07:52,294452161,68路,"114.035285,22.622049",10,30
113.940704,22.559835,2014-06-09 06:00,293902375,68路,"113.940704,22.559835",17,2
113.93800300000001,22.56245,2014-06-09 06:00,293902371,68路,"113.938003,22.56245",30,1
114.047058,22.518648000000002,2014-06-09 06:27,321320619,68路,"114.047058,22.518648",8,12
114.03206599999999,22.631134,2014-06-09 07:04,151092793,68路,"114.032066,22.631134",10,30
113.940505,22.560371,2014-06-09 06:48,23467314,68路,"113.940505,22.560371",17,2
113.94036799999999,22.549266,2014-06-09 06:51,20649526,68路,"113.940368,22.549266",6,3
114.030731,22.527010999999998,2014-06-09 07:08,324905749,68路,"114.030731,22.527011",4,10
114.03876399999999,22.522916,2014-06-09 07:12,290661144,68路,"114.038764,22.522916",5,11
114.03791799999999,22.615726000000002,2014-06-09 07:51,23228722,68路,"114.037918,22.615726",10,30
113.940605,22.559724,2014-06-09 07:37,293513210,68路,"113.940605,22.559724",17,2
114.033615,22.6275,2014-06-09 07:30,327491282,68路,"114.033615,22.6275",10,30
114.036346,22.618816,2014-06-09 07:36,323225469,68路,"114.036346,22.618816",10,30
114.03834499999999,22.523176,2014-06-09 06:45,23002590,68路,"114.038345,22.523176",5,11
114.033348,22.628116000000002,2014-06-09 07:31,281022069,68路,"114.033348,22.628116",10,30
114.04036699999999,22.64055,2014-06-09 07:41,324784856,68路,"114.040367,22.64055",2,31
114.051681,22.637184,2014-06-09 07:46,323699607,68路,"114.051681,22.637184",12,33
114.034103,22.625366,2014-06-09 07:54,291686993,68路,"114.034103,22.625366",10,30
114.03458400000001,22.62405,2014-06-09 07:54,281025716,68路,"114.034584,22.62405",10,30
114.03550700000001,22.621576,2014-06-09 07:55,326934291,68路,"114.035507,22.621576",10,30
114.062614,22.654684,2014-06-09 07:08,324129236,68路,"114.062614,22.654684",1,37
114.0512,22.637416,2014-06-09 07:18,323285013,68路,"114.0512,22.637416",12,33
114.03541499999999,22.621639000000002,2014-06-09 07:39,23051402,68路,"114.035415,22.621639",10,30
114.03543,22.621748999999998,2014-06-09 07:39,294331971,68路,"114.03543,22.621749",10,30
114.035728,22.620279,2014-06-09 07:39,360871829,68路,"114.035728,22.620279",10,30
114.036918,22.617549,2014-06-09 07:41,327288729,68路,"114.036918,22.617549",10,30
114.06443,22.657234,2014-06-09 07:41,290772406,68路,"114.06443,22.657234",1,37
114.061523,22.652261,2014-06-09 07:42,323346219,68路,"114.061523,22.652261",13,36
114.061576,22.652379,2014-06-09 07:54,328089805,68路,"114.061576,22.652379",13,36
114.038261,22.614952,2014-06-09 07:33,291005393,68路,"114.038261,22.614952",10,30
114.072166,22.654649,2014-06-09 06:01,293943087,68路,"114.072166,22.654649",28,39
114.05124599999999,22.518283,2014-06-09 06:57,291525310,68路,"114.051246,22.518283",8,12
114.06082099999999,22.521131,2014-06-09 07:24,330603731,68路,"114.060821,22.521131",25,14
114.036651,22.5242,2014-06-09 07:33,280423699,68路,"114.036651,22.5242",5,11
114.034103,22.625383,2014-06-09 07:04,680828891,68路,"114.034103,22.625383",10,30
114.06301100000002,22.524721,2014-06-09 07:44,80316592,68路,"114.063011,22.524721",25,14
114.039505,22.522647,2014-06-09 07:53,294186365,68路,"114.039505,22.522647",5,11
114.03638400000001,22.5244,2014-06-09 07:54,330273016,68路,"114.036384,22.5244",5,11
114.03471299999998,22.6252,2014-06-09 06:43,321525766,68路,"114.034713,22.6252",10,30
